symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BYFC,2020-04-14 00:00:00+00:00,1.38,1.5,1.28,1.28,53038,1.38,1.5,1.28,1.28,53038,0.0,1.0
BYFC,2020-04-15 00:00:00+00:00,1.35,1.38,1.2001,1.38,20396,1.35,1.38,1.2001,1.38,20396,0.0,1.0
BYFC,2020-04-16 00:00:00+00:00,1.32,1.4,1.23,1.38,24263,1.32,1.4,1.23,1.38,24263,0.0,1.0
BYFC,2020-04-17 00:00:00+00:00,1.39,1.4,1.35,1.4,9758,1.39,1.4,1.35,1.4,9758,0.0,1.0
BYFC,2020-04-20 00:00:00+00:00,1.3319,1.4,1.18,1.3998,11829,1.3319,1.4,1.18,1.3998,11829,0.0,1.0
BYFC,2020-04-21 00:00:00+00:00,1.35,1.35,1.35,1.35,985,1.35,1.35,1.35,1.35,985,0.0,1.0
BYFC,2020-04-22 00:00:00+00:00,1.391,1.4,1.2201,1.39,14580,1.391,1.4,1.2201,1.39,14580,0.0,1.0
BYFC,2020-04-23 00:00:00+00:00,1.43,1.48,1.375,1.4,42178,1.43,1.48,1.375,1.4,42178,0.0,1.0
BYFC,2020-04-24 00:00:00+00:00,1.43,1.48,1.41,1.4101,34683,1.43,1.48,1.41,1.4101,34683,0.0,1.0
BYFC,2020-04-27 00:00:00+00:00,1.45,1.45,1.3423,1.3423,13262,1.45,1.45,1.3423,1.3423,13262,0.0,1.0
BYFC,2020-04-28 00:00:00+00:00,1.45,1.45,1.41,1.45,19331,1.45,1.45,1.41,1.45,19331,0.0,1.0
BYFC,2020-04-29 00:00:00+00:00,1.45,1.45,1.42,1.45,10275,1.45,1.45,1.42,1.45,10275,0.0,1.0
BYFC,2020-04-30 00:00:00+00:00,1.45,1.45,1.32,1.3348,14635,1.45,1.45,1.32,1.3348,14635,0.0,1.0
BYFC,2020-05-01 00:00:00+00:00,1.45,1.45,1.33,1.4006,1981,1.45,1.45,1.33,1.4006,1981,0.0,1.0
BYFC,2020-05-04 00:00:00+00:00,1.45,1.45,1.2,1.2,2366,1.45,1.45,1.2,1.2,2366,0.0,1.0
BYFC,2020-05-05 00:00:00+00:00,1.44,1.4494,1.32,1.32,4020,1.44,1.4494,1.32,1.32,4020,0.0,1.0
BYFC,2020-05-06 00:00:00+00:00,1.45,1.45,1.35,1.35,4899,1.45,1.45,1.35,1.35,4899,0.0,1.0
BYFC,2020-05-07 00:00:00+00:00,1.41,1.45,1.3627,1.37,1693,1.41,1.45,1.3627,1.37,1693,0.0,1.0
BYFC,2020-05-08 00:00:00+00:00,1.37,1.48,1.35,1.4,19566,1.37,1.48,1.35,1.4,19566,0.0,1.0
BYFC,2020-05-11 00:00:00+00:00,1.34,1.46,1.3,1.44,11961,1.34,1.46,1.3,1.44,11961,0.0,1.0
BYFC,2020-05-12 00:00:00+00:00,1.43,1.44,1.34,1.44,1702,1.43,1.44,1.34,1.44,1702,0.0,1.0
BYFC,2020-05-13 00:00:00+00:00,1.42,1.43,1.2981,1.3,4230,1.42,1.43,1.2981,1.3,4230,0.0,1.0
BYFC,2020-05-14 00:00:00+00:00,1.4194,1.4194,1.385,1.385,1364,1.4194,1.4194,1.385,1.385,1364,0.0,1.0
BYFC,2020-05-15 00:00:00+00:00,1.37,1.37,1.37,1.37,312,1.37,1.37,1.37,1.37,312,0.0,1.0
BYFC,2020-05-18 00:00:00+00:00,1.41,1.41,1.315,1.35,8003,1.41,1.41,1.315,1.35,8003,0.0,1.0
BYFC,2020-05-19 00:00:00+00:00,1.4,1.4,1.36,1.38,1164,1.4,1.4,1.36,1.38,1164,0.0,1.0
BYFC,2020-05-20 00:00:00+00:00,1.4,1.41,1.35,1.35,2887,1.4,1.41,1.35,1.35,2887,0.0,1.0
BYFC,2020-05-21 00:00:00+00:00,1.36,1.48,1.35,1.3504,25820,1.36,1.48,1.35,1.3504,25820,0.0,1.0
BYFC,2020-05-22 00:00:00+00:00,1.47,1.54,1.29,1.54,14797,1.47,1.54,1.29,1.54,14797,0.0,1.0
BYFC,2020-05-26 00:00:00+00:00,1.32,1.4621,1.3,1.4,23281,1.32,1.4621,1.3,1.4,23281,0.0,1.0
BYFC,2020-05-27 00:00:00+00:00,1.44,1.45,1.38,1.38,1684,1.44,1.45,1.38,1.38,1684,0.0,1.0
BYFC,2020-05-28 00:00:00+00:00,1.32,1.45,1.32,1.4,5928,1.32,1.45,1.32,1.4,5928,0.0,1.0
BYFC,2020-05-29 00:00:00+00:00,1.44,1.44,1.3,1.38,7199,1.44,1.44,1.3,1.38,7199,0.0,1.0
BYFC,2020-06-01 00:00:00+00:00,1.4,1.43,1.354,1.354,2501,1.4,1.43,1.354,1.354,2501,0.0,1.0
BYFC,2020-06-02 00:00:00+00:00,1.4,1.42,1.31,1.42,2544,1.4,1.42,1.31,1.42,2544,0.0,1.0
BYFC,2020-06-03 00:00:00+00:00,1.4,1.4,1.3,1.37,16843,1.4,1.4,1.3,1.37,16843,0.0,1.0
BYFC,2020-06-04 00:00:00+00:00,1.41,1.41,1.32,1.325,6155,1.41,1.41,1.32,1.325,6155,0.0,1.0
BYFC,2020-06-05 00:00:00+00:00,1.4,1.41,1.33,1.41,8065,1.4,1.41,1.33,1.41,8065,0.0,1.0
BYFC,2020-06-08 00:00:00+00:00,1.395,1.41,1.35,1.4,17543,1.395,1.41,1.35,1.4,17543,0.0,1.0
BYFC,2020-06-09 00:00:00+00:00,1.4,1.41,1.33,1.41,11731,1.4,1.41,1.33,1.41,11731,0.0,1.0
BYFC,2020-06-10 00:00:00+00:00,1.38,1.42,1.34,1.39,10315,1.38,1.42,1.34,1.39,10315,0.0,1.0
BYFC,2020-06-11 00:00:00+00:00,1.33,1.66,1.085,1.36,431527,1.33,1.66,1.085,1.36,431527,0.0,1.0
BYFC,2020-06-12 00:00:00+00:00,1.32,1.37,1.2101,1.37,29799,1.32,1.37,1.2101,1.37,29799,0.0,1.0
BYFC,2020-06-15 00:00:00+00:00,1.3,1.31,1.23,1.27,9597,1.3,1.31,1.23,1.27,9597,0.0,1.0
BYFC,2020-06-16 00:00:00+00:00,1.43,1.47,1.2301,1.34,59723,1.43,1.47,1.2301,1.34,59723,0.0,1.0
BYFC,2020-06-17 00:00:00+00:00,1.69,2.32,1.52,2.1394,6699821,1.69,2.32,1.52,2.1394,6699821,0.0,1.0
BYFC,2020-06-18 00:00:00+00:00,1.7,1.97,1.3,1.86,7141164,1.7,1.97,1.3,1.86,7141164,0.0,1.0
BYFC,2020-06-19 00:00:00+00:00,3.31,7.23,3.14,3.76,171829573,3.31,7.23,3.14,3.76,171829573,0.0,1.0
BYFC,2020-06-22 00:00:00+00:00,2.97,4.45,2.63,4.45,41870176,2.97,4.45,2.63,4.45,41870176,0.0,1.0
