Date,Open,High,Low,Close,Adj Close,Volume
2019/4/22,13.61,13.72,13.6,13.67,13.67,20381700
2019/4/23,13.72,13.86,13.71,13.79,13.79,18523400
2019/4/24,13.81,13.82,13.66,13.68,13.68,15033500
2019/4/25,13.69,13.73,13.5,13.53,13.53,17562500
2019/4/26,13.38,13.39,12.96,13.09,13.09,42154100
2019/4/29,13.15,13.25,13.05,13.23,13.23,23410200
2019/4/30,13.35,13.36,13.18,13.29,13.29,16771400
2019/5/1,13.28,13.31,13.06,13.22,13.22,25771500
2019/5/2,12.92,12.94,12.69,12.82,12.82,42308900
2019/5/3,12.87,13.01,12.85,12.87,12.87,26193800
2019/5/6,12.79,13.11,12.79,13.07,13.07,37932000
2019/5/7,12.78,12.85,12.63,12.73,12.73,29944900
2019/5/8,12.78,12.98,12.75,12.89,12.89,23150000
2019/5/9,12.82,12.87,12.68,12.81,12.81,19192100
2019/5/10,12.8,12.93,12.79,12.84,12.84,18828900
2019/5/13,13.14,13.19,12.64,12.68,12.68,38790700
2019/5/14,12.84,12.95,12.81,12.87,12.87,20288200
2019/5/15,12.77,13.01,12.76,12.97,12.97,22020300
2019/5/16,13.1,13.24,13.08,13.14,13.14,19661900
2019/5/17,13.16,13.26,13.03,13.08,13.08,23587700
2019/5/20,13.12,13.22,13.03,13.15,13.15,21460900
2019/5/21,13.11,13.17,13.05,13.13,13.13,14720100
2019/5/22,12.99,13.05,12.69,12.74,12.74,27554600
2019/5/23,12.37,12.37,11.92,12.09,12.09,45571600
2019/5/24,12.22,12.24,11.95,12.23,12.23,21527100
2019/5/28,12.37,12.37,12.2,12.23,12.23,23403900
2019/5/29,12.03,12.28,11.83,12.24,12.24,36105900
2019/5/30,12.28,12.29,11.72,11.76,11.76,29508700
2019/5/31,11.45,11.54,11.04,11.1,11.1,40319600
2019/6/3,11.3,11.32,10.96,10.99,10.99,33152800
2019/6/4,11.07,11.19,10.95,11.16,11.16,22474900
2019/6/5,11.01,11.02,10.53,10.77,10.77,41599300
2019/6/6,10.74,11.09,10.65,11.06,11.06,31594800
2019/6/7,10.97,11.3,10.95,11.23,11.23,26155200
2019/6/10,11.23,11.35,11.04,11.11,11.11,23493000
2019/6/11,11.19,11.22,11.04,11.11,11.11,18884900
2019/6/12,10.88,10.9,10.57,10.64,10.64,35024300
2019/6/13,11.07,11.08,10.81,10.88,10.88,34928400
2019/6/14,10.92,11.04,10.86,10.94,10.94,25730900
2019/6/17,10.85,10.95,10.75,10.81,10.81,31522900
2019/6/18,10.99,11.31,10.96,11.25,11.25,36092800
2019/6/19,11.14,11.34,11.1,11.33,11.33,41157500
2019/6/20,11.69,11.9,11.63,11.85,11.85,46579600
2019/6/21,11.86,11.98,11.85,11.97,11.97,24575800
