,ticker,exchange,assetType,priceCurrency,startDate,endDate
0,000001,SHE,Stock,CNY,2007-08-30,2020-06-22
1,000002,SHE,Stock,CNY,2000-01-04,2020-06-22
2,000003,SHE,Stock,CNY,,
3,000004,SHE,Stock,CNY,2007-08-31,2020-06-22
4,000005,SHE,Stock,CNY,2001-01-02,2020-06-22
5,000006,SHE,Stock,CNY,2018-01-01,2020-06-22
6,000007,SHE,Stock,CNY,2007-08-31,2020-06-22
7,000008,SHE,Stock,CNY,2000-01-03,2020-06-22
8,000009,SHE,Stock,CNY,2000-01-03,2020-06-22
9,000010,SHE,Stock,CNY,2007-08-31,2020-06-22
10,000011,SHE,Stock,CNY,2018-01-01,2020-06-22
11,000012,SHE,Stock,CNY,2000-01-03,2020-06-22
12,000013,SHE,Stock,CNY,,
13,000014,SHE,Stock,CNY,2018-01-01,2020-06-22
14,000015,SHE,Stock,CNY,,
15,000016,SHE,Stock,CNY,2018-01-01,2020-06-22
16,000017,SHE,Stock,CNY,2018-01-02,2020-06-22
17,000018,SHE,Stock,CNY,2018-01-02,2020-01-06
18,000019,SHE,Stock,CNY,2018-01-01,2020-06-22
19,000020,SHE,Stock,CNY,2007-08-31,2020-06-22
20,000021,SHE,Stock,CNY,2000-01-03,2020-06-22
21,000022,SHE,Stock,CNY,2007-08-31,2018-12-20
22,000023,SHE,Stock,CNY,2018-01-01,2020-06-22
23,000024,SHE,Stock,CNY,,
24,000025,SHE,Stock,CNY,2018-01-01,2020-06-22
25,000026,SHE,Stock,CNY,2018-01-01,2020-06-22
26,000027,SHE,Stock,CNY,2000-01-03,2020-06-22
27,000028,SHE,Stock,CNY,2018-01-01,2020-06-22
28,000029,SHE,Stock,CNY,2016-09-13,2018-04-24
29,000030,SHE,Stock,CNY,2000-01-03,2020-06-22
30,000031,SHE,Stock,CNY,2009-09-01,2020-06-22
31,000032,SHE,Stock,CNY,2018-01-01,2020-06-22
32,000033,SHE,Stock,CNY,2007-08-31,2017-07-06
33,000034,SHE,Stock,CNY,2017-09-28,2020-06-22
34,000035,SHE,Stock,CNY,2007-09-28,2020-06-22
35,000036,SHE,Stock,CNY,2000-01-03,2020-06-22
36,000037,SHE,Stock,CNY,2000-01-03,2020-06-22
37,000038,SHE,Stock,CNY,2013-02-08,2020-06-22
38,000039,SHE,Stock,CNY,2018-01-01,2020-06-22
39,000040,SHE,Stock,CNY,2018-01-01,2020-06-22
40,000042,SHE,Stock,CNY,2000-01-03,2020-06-22
41,000043,SHE,Stock,CNY,2000-01-03,2019-12-13
42,000045,SHE,Stock,CNY,2000-01-03,2020-06-22
43,000046,SHE,Stock,CNY,2018-01-01,2020-06-22
44,000047,SHE,Stock,CNY,,
45,000048,SHE,Stock,CNY,2000-01-04,2020-06-22
46,000049,SHE,Stock,CNY,2018-01-01,2020-06-22
47,000050,SHE,Stock,CNY,2000-01-03,2020-06-22
48,000055,SHE,Stock,CNY,2000-01-03,2020-06-22
49,000056,SHE,Stock,CNY,2017-10-31,2020-06-22
50,000058,SHE,Stock,CNY,2000-01-03,2020-06-22
51,000059,SHE,Stock,CNY,2000-01-03,2020-06-22
52,000060,SHE,Stock,CNY,2018-01-01,2020-06-22
53,000061,SHE,Stock,CNY,2000-01-11,2020-06-22
54,000062,SHE,Stock,CNY,2000-01-03,2020-06-22
55,000063,SHE,Stock,CNY,2018-01-02,2020-06-22
56,000065,SHE,Stock,CNY,2018-01-01,2020-06-22
57,000066,SHE,Stock,CNY,2000-01-03,2020-06-22
58,000068,SHE,Stock,CNY,2007-08-30,2020-06-22
59,000069,SHE,Stock,CNY,2018-01-01,2020-06-22
60,000070,SHE,Stock,CNY,2018-01-01,2020-06-22
61,000078,SHE,Stock,CNY,2000-01-03,2020-06-22
62,000088,SHE,Stock,CNY,2000-01-03,2020-06-22
63,000089,SHE,Stock,CNY,2000-01-03,2020-06-22
64,000090,SHE,Stock,CNY,2018-01-01,2020-06-22
65,000096,SHE,Stock,CNY,2018-01-01,2020-06-22
66,000099,SHE,Stock,CNY,2018-01-01,2020-06-22
67,000100,SHE,Stock,CNY,2004-02-02,2020-06-22
68,000150,SHE,Stock,CNY,2000-08-08,2020-06-22
69,000151,SHE,Stock,CNY,2018-01-01,2020-06-22
70,000153,SHE,Stock,CNY,2018-01-01,2020-06-22
71,000155,SHE,Stock,CNY,2018-01-02,2020-06-22
72,000156,SHE,Stock,CNY,2018-01-01,2020-06-22
73,000157,SHE,Stock,CNY,2018-01-01,2020-06-22
74,000158,SHE,Stock,CNY,2018-01-02,2020-06-22
75,000159,SHE,Stock,CNY,2000-09-25,2020-06-22
76,000166,SHE,Stock,CNY,2018-01-01,2020-06-22
77,0001753539,NYSE,Stock,USD,,
78,000301,SHE,Stock,CNY,2018-01-01,2020-06-22
79,000333,SHE,Stock,CNY,2000-01-03,2020-06-22
80,000338,SHE,Stock,CNY,2018-01-01,2020-06-22
81,000400,SHE,Stock,CNY,2018-01-01,2020-06-22
82,000401,SHE,Stock,CNY,2018-01-01,2020-06-22
83,000402,SHE,Stock,CNY,2000-01-03,2020-06-22
84,000403,SHE,Stock,CNY,2013-02-08,2020-06-22
85,000404,SHE,Stock,CNY,2018-01-01,2020-06-22
86,000405,SHE,Stock,CNY,,
87,000406,SHE,Stock,CNY,,
88,000407,SHE,Stock,CNY,2000-01-04,2020-06-22
89,000408,SHE,Stock,CNY,2018-01-02,2020-06-22
90,000409,SHE,Stock,CNY,2018-01-02,2020-06-22
91,000410,SHE,Stock,CNY,2000-01-03,2020-06-22
92,000411,SHE,Stock,CNY,2018-01-01,2020-06-22
93,000412,SHE,Stock,CNY,,
94,000413,SHE,Stock,CNY,2000-01-03,2020-06-22
95,000415,SHE,Stock,CNY,2018-01-02,2020-06-22
96,000416,SHE,Stock,CNY,2000-01-03,2020-06-22
97,000417,SHE,Stock,CNY,2018-01-01,2020-06-22
98,000418,SHE,Stock,CNY,2000-01-03,2019-05-07
99,000419,SHE,Stock,CNY,2000-01-03,2020-06-22
100,000420,SHE,Stock,CNY,2000-01-03,2020-06-22
101,000421,SHE,Stock,CNY,2000-01-03,2020-06-22
102,000422,SHE,Stock,CNY,2018-01-02,2020-06-22
103,000423,SHE,Stock,CNY,2000-01-03,2020-06-22
104,000425,SHE,Stock,CNY,2000-01-03,2020-06-22
105,000426,SHE,Stock,CNY,2000-01-03,2020-06-22
106,000428,SHE,Stock,CNY,2000-01-03,2020-06-22
107,000429,SHE,Stock,CNY,2000-01-03,2020-06-22
108,000430,SHE,Stock,CNY,2018-01-02,2020-06-22
109,000488,SHE,Stock,CNY,2000-11-20,2020-06-22
110,000498,SHE,Stock,CNY,2018-01-01,2020-06-22
111,000501,SHE,Stock,CNY,2000-01-03,2020-06-22
112,000502,SHE,Stock,CNY,2007-08-30,2020-06-22
113,000503,SHE,Stock,CNY,2018-01-02,2020-06-22
114,000504,SHE,Stock,CNY,2007-08-30,2020-06-22
115,000505,SHE,Stock,CNY,2007-08-30,2020-06-22
116,000506,SHE,Stock,CNY,2018-01-02,2020-06-22
117,000507,SHE,Stock,CNY,2018-01-01,2020-06-22
118,000508,SHE,Stock,CNY,,
119,000509,SHE,Stock,CNY,2017-07-17,2020-06-22
120,000510,SHE,Stock,CNY,2000-01-04,2020-06-22
121,000511,SHE,Stock,CNY,2017-04-28,2018-07-17
122,000513,SHE,Stock,CNY,2000-01-03,2020-06-22
123,000514,SHE,Stock,CNY,2018-01-02,2020-06-22
124,000515,SHE,Stock,CNY,,
125,000516,SHE,Stock,CNY,2000-02-02,2020-06-22
126,000517,SHE,Stock,CNY,2000-01-03,2020-06-22
127,000518,SHE,Stock,CNY,2007-08-30,2020-06-22
128,000519,SHE,Stock,CNY,2018-01-01,2020-06-22
129,000520,SHE,Stock,CNY,2000-01-03,2020-06-22
130,000521,SHE,Stock,CNY,2018-01-01,2020-06-22
131,000522,SHE,Stock,CNY,,
132,000523,SHE,Stock,CNY,2018-01-01,2020-06-22
