,ticker,exchange,assetType,priceCurrency,startDate,endDate
0,000001,SHE,Stock,CNY,2007-08-30,2020-06-19
1,000002,SHE,Stock,CNY,2000-01-04,2020-06-19
2,000003,SHE,Stock,CNY,,
3,000004,SHE,Stock,CNY,2007-08-31,2020-06-19
4,000005,SHE,Stock,CNY,2001-01-02,2020-06-19
5,000006,SHE,Stock,CNY,2018-01-01,2020-06-19
6,000007,SHE,Stock,CNY,2007-08-31,2020-06-19
7,000008,SHE,Stock,CNY,2000-01-03,2020-06-19
8,000009,SHE,Stock,CNY,2000-01-03,2020-06-19
9,000010,SHE,Stock,CNY,2007-08-31,2020-06-19
10,000011,SHE,Stock,CNY,2018-01-01,2020-06-19
11,000012,SHE,Stock,CNY,2000-01-03,2020-06-19
12,000013,SHE,Stock,CNY,,
13,000014,SHE,Stock,CNY,2018-01-01,2020-06-19
14,000015,SHE,Stock,CNY,,
15,000016,SHE,Stock,CNY,2018-01-01,2020-06-19
16,000017,SHE,Stock,CNY,2018-01-02,2020-06-19
17,000018,SHE,Stock,CNY,2018-01-02,2020-01-06
18,000019,SHE,Stock,CNY,2018-01-01,2020-06-19
19,000020,SHE,Stock,CNY,2007-08-31,2020-06-19
20,000021,SHE,Stock,CNY,2000-01-03,2020-06-19
21,000022,SHE,Stock,CNY,2007-08-31,2018-12-20
22,000023,SHE,Stock,CNY,2018-01-01,2020-06-19
23,000024,SHE,Stock,CNY,,
24,000025,SHE,Stock,CNY,2018-01-01,2020-06-19
25,000026,SHE,Stock,CNY,2018-01-01,2020-06-19
26,000027,SHE,Stock,CNY,2000-01-03,2020-06-19
27,000028,SHE,Stock,CNY,2018-01-01,2020-06-19
28,000029,SHE,Stock,CNY,2016-09-13,2018-04-24
29,000030,SHE,Stock,CNY,2000-01-03,2020-06-19
30,000031,SHE,Stock,CNY,2009-09-01,2020-06-19
31,000032,SHE,Stock,CNY,2018-01-01,2020-06-19
32,000033,SHE,Stock,CNY,2007-08-31,2017-07-06
33,000034,SHE,Stock,CNY,2017-09-28,2020-06-19
34,000035,SHE,Stock,CNY,2007-09-28,2020-06-19
35,000036,SHE,Stock,CNY,2000-01-03,2020-06-19
36,000037,SHE,Stock,CNY,2000-01-03,2020-06-19
37,000038,SHE,Stock,CNY,2013-02-08,2020-06-19
38,000039,SHE,Stock,CNY,2018-01-01,2020-06-19
39,000040,SHE,Stock,CNY,2018-01-01,2020-06-19
40,000042,SHE,Stock,CNY,2000-01-03,2020-06-19
41,000043,SHE,Stock,CNY,2000-01-03,2019-12-13
42,000045,SHE,Stock,CNY,2000-01-03,2020-06-19
43,000046,SHE,Stock,CNY,2018-01-01,2020-06-19
44,000047,SHE,Stock,CNY,,
45,000048,SHE,Stock,CNY,2000-01-04,2020-06-19
46,000049,SHE,Stock,CNY,2018-01-01,2020-06-19
47,000050,SHE,Stock,CNY,2000-01-03,2020-06-19
48,000055,SHE,Stock,CNY,2000-01-03,2020-06-19
49,000056,SHE,Stock,CNY,2017-10-31,2020-06-19
50,000058,SHE,Stock,CNY,2000-01-03,2020-06-19
51,000059,SHE,Stock,CNY,2000-01-03,2020-06-19
52,000060,SHE,Stock,CNY,2018-01-01,2020-06-19
53,000061,SHE,Stock,CNY,2000-01-11,2020-06-19
54,000062,SHE,Stock,CNY,2000-01-03,2020-06-19
55,000063,SHE,Stock,CNY,2018-01-02,2020-06-19
56,000065,SHE,Stock,CNY,2018-01-01,2020-06-19
57,000066,SHE,Stock,CNY,2000-01-03,2020-06-19
58,000068,SHE,Stock,CNY,2007-08-30,2020-06-19
59,000069,SHE,Stock,CNY,2018-01-01,2020-06-19
60,000070,SHE,Stock,CNY,2018-01-01,2020-06-19
61,000078,SHE,Stock,CNY,2000-01-03,2020-06-19
62,000088,SHE,Stock,CNY,2000-01-03,2020-06-19
63,000089,SHE,Stock,CNY,2000-01-03,2020-06-19
64,000090,SHE,Stock,CNY,2018-01-01,2020-06-19
65,000096,SHE,Stock,CNY,2018-01-01,2020-06-19
66,000099,SHE,Stock,CNY,2018-01-01,2020-06-19
67,000100,SHE,Stock,CNY,2004-02-02,2020-06-19
68,000150,SHE,Stock,CNY,2000-08-08,2020-06-19
69,000151,SHE,Stock,CNY,2018-01-01,2020-06-19
70,000153,SHE,Stock,CNY,2018-01-01,2020-06-19
71,000155,SHE,Stock,CNY,2018-01-02,2020-06-19
72,000156,SHE,Stock,CNY,2018-01-01,2020-06-19
73,000157,SHE,Stock,CNY,2018-01-01,2020-06-19
74,000158,SHE,Stock,CNY,2018-01-02,2020-06-19
75,000159,SHE,Stock,CNY,2000-09-25,2020-06-19
76,000166,SHE,Stock,CNY,2018-01-01,2020-06-19
77,0001753539,NYSE,Stock,USD,,
78,000301,SHE,Stock,CNY,2018-01-01,2020-06-19
79,000333,SHE,Stock,CNY,2000-01-03,2020-06-19
80,000338,SHE,Stock,CNY,2018-01-01,2020-06-19
81,000400,SHE,Stock,CNY,2018-01-01,2020-06-19
82,000401,SHE,Stock,CNY,2018-01-01,2020-06-19
83,000402,SHE,Stock,CNY,2000-01-03,2020-06-19
84,000403,SHE,Stock,CNY,2013-02-08,2020-06-19
85,000404,SHE,Stock,CNY,2018-01-01,2020-06-19
86,000405,SHE,Stock,CNY,,
87,000406,SHE,Stock,CNY,,
88,000407,SHE,Stock,CNY,2000-01-04,2020-06-19
89,000408,SHE,Stock,CNY,2018-01-02,2020-06-19
90,000409,SHE,Stock,CNY,2018-01-02,2020-06-19
91,000410,SHE,Stock,CNY,2000-01-03,2020-06-19
92,000411,SHE,Stock,CNY,2018-01-01,2020-06-19
93,000412,SHE,Stock,CNY,,
94,000413,SHE,Stock,CNY,2000-01-03,2020-06-19
95,000415,SHE,Stock,CNY,2018-01-02,2020-06-19
